TradingDate,log_return
2022-06-30,-0.15030254792865222
2022-07-31,0.08499321283339241
2022-08-31,0.08243301101412129
2022-09-30,-0.20021604667050508
2022-10-31,-0.08157165369381146
2022-11-30,-0.051959738930711485
2022-12-31,-0.040821994520255325
2023-01-31,0.20714320996776908
2023-02-28,-0.12162103652960671
2023-03-31,0.10536051565782614
2023-04-30,0.08632808348849731
2023-05-31,0.06547792937950693
2023-06-30,0.006828937969018908
2023-07-31,0.03210324538441736
2023-08-31,0.1347325939701566
2023-09-30,-0.06702259629609436
2023-10-31,-0.09133861606750747
2023-11-30,0.25770124023984503
2023-12-31,-0.002176279422595389
2024-01-31,0.01606860852484146
2024-02-29,0.13980956255660065
2024-03-31,0.27546488851318895
2024-04-30,-0.10914367306567595
2024-05-31,0.058725286012782416
2024-06-30,0.06691212775874503
2024-07-31,-0.1096370724250865
2024-08-31,0.016529301951210273
2024-09-30,0.007557521065456742
2024-10-31,0.003159560290368662
2024-11-30,-0.0592946706315598
2024-12-31,0.040989344533196935
2025-01-31,0.0554613029864545
2025-02-28,-0.08894748601649609
2025-03-31,-0.15609054464508482
2025-04-30,-0.19443344543177846
2025-05-31,0.060624621816434666
2025-06-30,-0.0011104942840271526
