TradingDate,log_return
2022-06-30,0.006141268022082622
2022-07-31,0.020202707317519313
2022-08-31,0.02955880224154403
2022-09-30,0.024919383092525296
2022-10-31,-0.06453852113757111
2022-11-30,-0.08096906253366712
2022-12-31,0.02145493500125996
2023-01-31,0.011723463696059306
2023-02-28,-0.007017572658646401
2023-03-31,0.07678714321377031
2023-04-30,-0.10294796925244235
2023-05-31,-0.0024125464053837125
2023-06-30,-0.007272759329079795
2023-07-31,0.25050306921002685
2023-08-31,0.12114438335908839
2023-09-30,0.036247790392340995
2023-10-31,0.043011890593291184
2023-11-30,-0.01658412801553546
2023-12-31,0.07099754973932906
2024-01-31,0.2061780171559128
2024-02-29,0.05546708151287257
2024-03-31,0.01310322499842722
2024-04-30,0.02339287957470567
2024-05-31,0.14402527171667465
2024-06-30,6.938893903907228e-18
2024-07-31,-0.030490166757787325
2024-08-31,-0.0628200123798704
2024-09-30,0.01977260501957998
2024-10-31,-0.04890380699016919
2024-11-30,-0.06788540449127992
2024-12-31,-0.01414814596602676
2025-01-31,0.12523933633283843
2025-02-28,-0.06980953139350742
2025-03-31,0.028987536873251996
2025-04-30,-0.055059777183027285
2025-05-31,0.00876649321218255
2025-06-30,0.004975134640113792
