TradingDate,log_return
2022-06-30,-0.23361485118150482
2022-07-31,0.0344861760711691
2022-08-31,0.1045126987354865
2022-09-30,-0.07117627846789534
2022-10-31,-0.23137405045072545
2022-11-30,-0.05085841723349127
2022-12-31,0.03208831455150084
2023-01-31,0.1189519428613656
2023-02-28,-0.04296603588344341
2023-03-31,-0.009804000096620842
2023-04-30,0.19618235758619015
2023-05-31,0.11462916955936137
2023-06-30,0.007194275634026948
2023-07-31,0.038669141159154125
2023-08-31,0.1909053004853456
2023-09-30,-0.09246522767209363
2023-10-31,-0.11232918497391967
2023-11-30,0.027587956518829053
2023-12-31,0.04652001563489279
2024-01-31,-0.003252035386377342
2024-02-29,-0.009820046180975246
2024-03-31,0.08206495305430397
2024-04-30,0.041549002912872286
2024-05-31,0.08894748601649625
2024-06-30,0.002656044058116234
2024-07-31,-0.07145896398214518
2024-08-31,0.15537093623248777
2024-09-30,0.1170139400781087
2024-10-31,-0.012004946096823246
2024-11-30,-0.026929411878631113
2024-12-31,-0.012484556662245308
2025-01-31,-0.012642393415176548
2025-02-28,0.044783602626973354
2025-03-31,-0.012240054894501973
2025-04-30,0.06899287148695123
2025-05-31,0.036121308413994475
2025-06-30,0.004424785980355556
