TradingDate,log_return
2022-06-30,-0.0988689024213186
2022-07-31,-0.06689423483003
2022-08-31,0.05307367921139798
2022-09-30,-0.026184778995067024
2022-10-31,-0.07410797215372167
2022-11-30,-0.03352269203864418
2022-12-31,0.11778303565638323
2023-01-31,-0.016754209940013726
2023-02-28,-0.05653679387836407
2023-03-31,-0.04577458138494419
2023-04-30,0.007001195458983728
2023-05-31,0.044350645224066725
2023-06-30,-0.021361126999368207
2023-07-31,0.040094457201878396
2023-08-31,0.07768857845450505
2023-09-30,-0.0689928714869517
2023-10-31,-0.06021885999305451
2023-11-30,-0.030340717052672356
2023-12-31,-0.023981964686485644
2024-01-31,0.03576066387909815
2024-02-29,0.007001195458983476
2024-03-31,0.04546237407675745
2024-04-30,-0.06780310335136293
2024-05-31,0.15336099171300932
2024-06-30,0.06089818220659657
2024-07-31,-0.07141844288077576
2024-08-31,0.03917551643455538
2024-09-30,0.025656733593363817
2024-10-31,-0.008849615276982338
2024-11-30,0.06557964564598194
2024-12-31,-0.011512424375705998
2025-01-31,-0.012712035588362001
2025-02-28,-0.013264305515388392
2025-03-31,-0.03390155167568143
2025-04-30,0.11701645838618782
2025-05-31,0.032195939800487614
2025-06-30,-0.04040953833787676
