TradingDate,log_return
2022-06-30,-0.2076393647782447
2022-07-31,0.08402540881106796
2022-08-31,0.06217141253473373
2022-09-30,-0.17708029306125417
2022-10-31,-0.2802762041856777
2022-11-30,-0.08626034428440756
2022-12-31,-0.22089383158019404
2023-01-31,0.08607460877124279
2023-02-28,-0.1203636822498752
2023-03-31,0.056512210263342355
2023-04-30,0.12710050229423164
2023-05-31,0.20096390760323404
2023-06-30,0.04891580020201145
2023-07-31,0.12279557747992766
2023-08-31,0.08414252256298103
2023-09-30,0.03982827295151271
2023-10-31,-0.14193349588866655
2023-11-30,0.1739533071234382
2023-12-31,0.17846257989491104
2024-01-31,0.15289455605953123
2024-02-29,0.1676340301645457
2024-03-31,0.11437587733476887
2024-04-30,-0.13760272794458572
2024-05-31,0.018111749943046367
2024-06-30,0.06213178110700622
2024-07-31,-0.10804148241108426
2024-08-31,0.01993421490081735
2024-09-30,0.05261732574663242
2024-10-31,0.13209906962958953
2024-11-30,0.3848148530036566
2024-12-31,0.037965110225996204
2025-01-31,0.2165477047558585
2025-02-28,-0.09949539620542797
2025-03-31,-0.10326899277212942
2025-04-30,-0.2325536822802884
2025-05-31,-0.027651531330510397
2025-06-30,0.023095714794649346
