TradingDate,log_return
2022-06-30,0.01142869582362286
2022-07-31,-0.005698021114637823
2022-08-31,0.008706859679677454
2022-09-30,-0.17229999833293594
2022-10-31,-0.052643733485422194
2022-11-30,-0.18774162426329413
2022-12-31,0.0529224014543424
2023-01-31,0.14378789279171164
2023-02-28,-0.103378354453835
2023-03-31,0.1033783544538346
2023-04-30,-0.036367644170874694
2023-05-31,0.07145896398214466
2023-06-30,-0.02620237239402408
2023-07-31,0.017544309650909307
2023-08-31,-0.11020314013361457
2023-09-30,-0.14609261849749566
2023-10-31,-0.13192754304254808
2023-11-30,-0.025975486403260643
2023-12-31,0.01307208156735272
2024-01-31,0.02564243061333702
2024-02-29,0.012578782206860343
2024-03-31,-0.012578782206859847
2024-04-30,-1.7520707107365752e-16
2024-05-31,0.18442903913351943
2024-06-30,-0.08796877294595673
2024-07-31,-0.035091319811270484
2024-08-31,0.06899287148695141
2024-09-30,-0.1560042484765811
2024-10-31,-0.12429771667757698
2024-11-30,1.5265566588595902e-16
2024-12-31,0.1499401472909146
2025-01-31,-0.01273902577742949
2025-02-28,0.15415067982725825
2025-03-31,0.21652831219549057
2025-04-30,-0.08299691957096775
2025-05-31,-0.13353139262452274
2025-06-30,-0.011049836186584935
