TradingDate,log_return
2022-06-30,-0.1522542256271605
2022-07-31,0.04916902380646972
2022-08-31,0.08237099743312767
2022-09-30,-0.021152375005226945
2022-10-31,-0.26808128813797294
2022-11-30,-0.08906777696419724
2022-12-31,-0.15354259224391148
2023-01-31,0.22738984219566108
2023-02-28,-0.13207966239133595
2023-03-31,0.3852755587719474
2023-04-30,-0.08796877294595709
2023-05-31,0.029726180265200745
2023-06-30,-0.00419287826003599
2023-07-31,-0.04000533461369915
2023-08-31,-0.14063696066053546
2023-09-30,-0.140265424805867
2023-10-31,0.019121041446778744
2023-11-30,-0.18232155679395473
2023-12-31,-0.02298951822469878
2024-01-31,-0.08237099743312765
2024-02-29,0.007547205635382909
2024-03-31,-0.04354080828328857
2024-04-30,-0.1433022332295123
2024-05-31,0.009022617599637354
2024-06-30,-0.012048338516174581
2024-07-31,-0.16430305129127634
2024-08-31,-0.0896121586896869
2024-09-30,-0.05211600113901395
2024-10-31,-0.09943389698818707
2024-11-30,-0.046520015634892435
2024-12-31,0.07342746855481695
2025-01-31,-0.049896971144623214
2025-02-28,-0.028303776162852106
2025-03-31,-0.014458083175229917
2025-04-30,-0.0808520966290951
2025-05-31,
2025-06-30,0.006960584947623971
